fips,code,reason
72091,EXCLUDE_LIST,On the list of excluded counties
72093,EXCLUDE_LIST,On the list of excluded counties
72095,EXCLUDE_LIST,On the list of excluded counties
72097,EXCLUDE_LIST,On the list of excluded counties
72099,EXCLUDE_LIST,On the list of excluded counties
72101,EXCLUDE_LIST,On the list of excluded counties
72103,EXCLUDE_LIST,On the list of excluded counties
72105,EXCLUDE_LIST,On the list of excluded counties
72107,EXCLUDE_LIST,On the list of excluded counties
72888,EXCLUDE_LIST,On the list of excluded counties
72109,EXCLUDE_LIST,On the list of excluded counties
72111,EXCLUDE_LIST,On the list of excluded counties
72113,EXCLUDE_LIST,On the list of excluded counties
72115,EXCLUDE_LIST,On the list of excluded counties
72117,EXCLUDE_LIST,On the list of excluded counties
72119,EXCLUDE_LIST,On the list of excluded counties
72121,EXCLUDE_LIST,On the list of excluded counties
72123,EXCLUDE_LIST,On the list of excluded counties
72125,EXCLUDE_LIST,On the list of excluded counties
72127,EXCLUDE_LIST,On the list of excluded counties
72129,EXCLUDE_LIST,On the list of excluded counties
72131,EXCLUDE_LIST,On the list of excluded counties
72133,EXCLUDE_LIST,On the list of excluded counties
72135,EXCLUDE_LIST,On the list of excluded counties
72137,EXCLUDE_LIST,On the list of excluded counties
72139,EXCLUDE_LIST,On the list of excluded counties
72999,EXCLUDE_LIST,On the list of excluded counties
72141,EXCLUDE_LIST,On the list of excluded counties
72143,EXCLUDE_LIST,On the list of excluded counties
72145,EXCLUDE_LIST,On the list of excluded counties
72147,EXCLUDE_LIST,On the list of excluded counties
72149,EXCLUDE_LIST,On the list of excluded counties
72151,EXCLUDE_LIST,On the list of excluded counties
72153,EXCLUDE_LIST,On the list of excluded counties
80044,EXCLUDE_LIST,On the list of excluded counties
90044,EXCLUDE_LIST,On the list of excluded counties
80045,EXCLUDE_LIST,On the list of excluded counties
90045,EXCLUDE_LIST,On the list of excluded counties
80046,EXCLUDE_LIST,On the list of excluded counties
90046,EXCLUDE_LIST,On the list of excluded counties
80047,EXCLUDE_LIST,On the list of excluded counties
90047,EXCLUDE_LIST,On the list of excluded counties
80048,EXCLUDE_LIST,On the list of excluded counties
90048,EXCLUDE_LIST,On the list of excluded counties
80049,EXCLUDE_LIST,On the list of excluded counties
90049,EXCLUDE_LIST,On the list of excluded counties
80050,EXCLUDE_LIST,On the list of excluded counties
90050,EXCLUDE_LIST,On the list of excluded counties
80051,EXCLUDE_LIST,On the list of excluded counties
90051,EXCLUDE_LIST,On the list of excluded counties
80053,EXCLUDE_LIST,On the list of excluded counties
90053,EXCLUDE_LIST,On the list of excluded counties
80054,EXCLUDE_LIST,On the list of excluded counties
90054,EXCLUDE_LIST,On the list of excluded counties
80055,EXCLUDE_LIST,On the list of excluded counties
90055,EXCLUDE_LIST,On the list of excluded counties
80056,EXCLUDE_LIST,On the list of excluded counties
90056,EXCLUDE_LIST,On the list of excluded counties
60,STATE,Was a state or territory
66,STATE,Was a state or territory
69,STATE,Was a state or territory
78,STATE,Was a state or territory
15005,UNDER60,Fewer than 60 days of data
49001,UNDER60,Fewer than 60 days of data
49005,UNDER60,Fewer than 60 days of data
49007,UNDER60,Fewer than 60 days of data
49013,UNDER60,Fewer than 60 days of data
49015,UNDER60,Fewer than 60 days of data
49017,UNDER60,Fewer than 60 days of data
49019,UNDER60,Fewer than 60 days of data
49021,UNDER60,Fewer than 60 days of data
49025,UNDER60,Fewer than 60 days of data
49047,UNDER60,Fewer than 60 days of data
49053,UNDER60,Fewer than 60 days of data
02063,NOPOP,No population size information
02066,NOPOP,No population size information
